permutation,null_mean_lift
386,-0.12512626262626264
387,-0.17618274582560295
388,-0.12678571428571422
389,-0.2082586064728921
390,-0.1895717377860235
391,-0.16772830344258916
392,-0.14237012987012987
393,-0.14114615543186967
394,-0.13250360750360748
395,-0.04810863739435166
396,-0.17362141826427538
397,-0.1496109049680478
398,-0.17886518243661104
399,-0.09539785611214183
400,-0.06003916718202429
401,-0.15071377035662747
402,-0.19344207379921668
403,-0.12197227375798803
404,-0.17484539270253555
405,-0.15470263863121006
406,-0.07074314574314572
407,-0.14911616161616156
408,-0.1457354153782725
409,-0.15592661306947025
410,-0.21147443826015255
411,-0.1250386518243661
412,-0.16964801071943925
413,-0.16902185116470828
414,-0.15392187177901465
415,-0.18282055246340956
416,-0.21239435168006593
417,-0.10486239950525664
418,-0.05065708101422387
419,-0.16607142857142856
420,-0.16708668315811173
421,-0.10528241599670167
422,-0.13770871985157698
423,-0.0984925788497217
424,-0.1288548752834467
425,-0.14871418264275407
426,-0.11810451453308593
427,-0.17755102040816326
428,-0.14024943310657595
429,-0.033696660482374755
430,-0.13137239744382603
431,-0.16829004329004327
432,-0.15910379303236447
433,-0.20678726035868894
434,-0.10218253968253965
435,-0.11947021232735518
436,-0.13505462791177072
437,-0.21270614306328595
438,-0.2285070088641517
439,-0.14487992166563596
440,-0.17662079983508555
441,-0.17681148216862502
442,-0.09833797155225724
443,-0.15163110698824983
444,-0.14662440733869303
445,-0.18035714285714288
446,-0.18171511028653886
447,-0.09514533085961656
448,-0.12988816738816739
449,-0.15529014636157495
450,-0.151288394145537
451,-0.15997474747474744
452,-0.0937126365697794
453,-0.07489950525664811
454,-0.21187126365697795
455,-0.19943826015254584
456,-0.17795042259327976
457,-0.06254638218923933
458,-0.07966141001855284
459,-0.12767985982271698
460,-0.11539373325087607
461,-0.09035250463821888
462,-0.11722840651412078
463,-0.13336425479282626
464,-0.11294836116264687
465,-0.21847814883529165
466,-0.11076839826839821
467,-0.20940785405071122
468,-0.08851010101010104
469,-0.15262832405689547
470,-0.10624871160585443
471,-0.18853586889301174
472,-0.173258091115234
473,-0.1259688723974438
474,-0.11933879612451034
475,-0.09880694702123274
476,-0.11776695526695524
477,-0.06095908060193772
478,-0.17230467944753655
479,-0.1803391053391053
480,-0.10897237682951968
481,-0.10066481137909707
482,-0.1101886209029066
483,-0.15613790970933833
484,-0.06980777159348586
485,-0.14597247990105133
486,-0.14420995670995668
487,-0.13561636775922487
488,-0.24409142444856724
489,-0.16900639043496185
490,-0.07712585034013604
491,-0.10755256648113791
492,-0.09613481756338897
493,-0.16326015254586682
494,-0.09256596578025147
495,-0.16318027210884353
496,-0.10509688723974438
497,-0.11437847866419297
498,-0.09717068645640073
499,-0.20158730158730162
500,-0.09568130282415996
501,-0.19902339723768292
502,-0.01703257060399919
503,-0.12366522366522367
504,-0.16318542568542568
505,-0.1294707276850134
506,-0.13660070088641513
507,-0.08588693052978766
508,-0.13376365697794265
509,-0.1762471655328798
510,-0.09013090084518655
511,-0.13659554730983298
512,-0.20253813646670787
513,-0.1827329416615131
514,-0.09263038548752832
515,-0.14486961451247163
516,-0.13176406926406922
517,-0.04171562564419704
518,-0.012165017522160353
519,-0.10621263656977945
